2023-04-27 09:13:30,131 - backend - INFO - ShortStranglesOptionsStrategy initiated
2023-04-27 09:13:30,214 - backend.strategy.strategy_manager - INFO - add ESM1 FUT GLOBEX
2023-04-27 09:13:30,215 - backend.strategy.strategy_manager - INFO - add ESM3 FUT CME
2023-04-27 09:13:30,216 - backend.strategy.strategy_manager - INFO - add SPY STK SMART
2023-04-27 09:13:33,716 - backend.brokerage.ib_brokerage - ERROR - Error. id: -1, Code: 502, Msg: Couldn't connect to TWS. Confirm that "Enable ActiveX and Socket EClients" 
is enabled and connection port is the same as "Socket Port" on the 
TWS "Edit->Global Configuration...->API->Settings" menu. Live Trading ports: 
TWS: 7496; IB Gateway: 4001. Simulated Trading ports for new installations 
of version 954.1 or newer:  TWS: 7497; IB Gateway: 4002
2023-04-27 20:33:11,845 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: CorporateBondValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,846 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Currency, Value: BASE,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,847 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Currency, Value: USD,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,847 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Cushion, Value: 0.991601,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,848 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemaining, Value: -1,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,849 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+1, Value: -1,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,852 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+2, Value: -1,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,852 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+3, Value: -1,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,852 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+4, Value: -1,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,853 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: EquityWithLoanValue, Value: 1012562.41,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,853 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: EquityWithLoanValue-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,854 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: EquityWithLoanValue-S, Value: 954230.28,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,854 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExcessLiquidity, Value: 1006745.51,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,855 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExcessLiquidity-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,856 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExcessLiquidity-S, Value: 948413.38,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,856 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExchangeRate, Value: 1.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,857 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExchangeRate, Value: 1.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,858 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullAvailableFunds, Value: 1006745.51,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,858 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullAvailableFunds-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,859 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullAvailableFunds-S, Value: 948413.38,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,859 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullExcessLiquidity, Value: 1006745.51,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,860 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullExcessLiquidity-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,863 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullExcessLiquidity-S, Value: 948413.38,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,863 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullInitMarginReq, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,864 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullInitMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,864 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullInitMarginReq-S, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,865 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullMaintMarginReq, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,865 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullMaintMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,866 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullMaintMarginReq-S, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,866 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FundValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,867 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FundValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
