2023-04-21 15:21:03,911 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: CorporateBondValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-21 15:21:03,912 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: CorporateBondValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,913 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Currency, Value: BASE,  Currency: BASE, AccountName: DU6339390
2023-04-21 15:21:03,914 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Currency, Value: USD,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,914 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Cushion, Value: 1,  Currency: , AccountName: DU6339390
2023-04-21 15:21:03,915 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemaining, Value: -1,  Currency: , AccountName: DU6339390
2023-04-21 15:21:03,915 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+1, Value: -1,  Currency: , AccountName: DU6339390
2023-04-21 15:21:03,916 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+2, Value: -1,  Currency: , AccountName: DU6339390
2023-04-21 15:21:03,918 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+3, Value: -1,  Currency: , AccountName: DU6339390
2023-04-21 15:21:03,918 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: DayTradesRemainingT+4, Value: -1,  Currency: , AccountName: DU6339390
2023-04-21 15:21:03,919 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: EquityWithLoanValue, Value: 1014604.06,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,919 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: EquityWithLoanValue-C, Value: 58353.43,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,919 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: EquityWithLoanValue-S, Value: 956250.63,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,920 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExcessLiquidity, Value: 1014604.06,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,920 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExcessLiquidity-C, Value: 58353.43,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,921 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExcessLiquidity-S, Value: 956250.63,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,921 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExchangeRate, Value: 1.00,  Currency: BASE, AccountName: DU6339390
